Id,Label,Level,Seed,In-Degree,Out-Degree,Degree,Modularity Class,modularity edit,Modularity size,Modularity label,Color,Colornodes
gross national happiness,Gross National Happiness,1,false,35,9,44,11,11,1,Cooperation  policy,,
bhutan gnh index,Bhutan GNH Index,0,false,2,1,3,11,11,1,Cooperation  policy,,
broad measures of economic progress,Broad measures of economic progress,0,false,2,2,4,11,11,1,Cooperation  policy,,
economics,Economics,2,false,2,0,2,11,11,1,Cooperation  policy,,
happiness economics,Happiness economics,0,false,2,2,4,11,11,1,Cooperation  policy,,
happy planet index,Happy Planet Index,0,false,2,2,4,11,11,1,Cooperation  policy,,
human development index,Human Development Index,0,false,2,2,4,11,11,1,Cooperation  policy,,
subjective life satisfaction,Subjective life satisfaction,2,false,2,0,2,11,11,1,Cooperation  policy,,
world values survey,World Values Survey,0,false,2,2,4,11,11,1,Cooperation  policy,,
disability-adjusted life year,Disability-adjusted life year,0,false,1,2,3,11,11,1,Cooperation  policy,,
full cost accounting,Full cost accounting,2,false,1,0,1,11,11,1,Cooperation  policy,,
green national product,Green national product,0,false,1,2,3,11,11,1,Cooperation  policy,,
green gross domestic product,Green gross domestic product,0,false,1,1,2,11,11,1,Cooperation  policy,,
gender-related development index,Gender-related Development Index,0,false,1,2,3,11,11,1,Cooperation  policy,,
global peace index,Global Peace Index,2,false,1,0,1,11,11,1,Cooperation  policy,,
gross national well-being,Gross National Well-being,2,false,1,0,1,11,11,1,Cooperation  policy,,
isew,ISEW,2,false,1,0,1,11,11,1,Cooperation  policy,,
progress (history),Progress (history),2,false,1,0,1,11,11,1,Cooperation  policy,,
progressive utilization theory,Progressive utilization theory,2,false,1,0,1,11,11,1,Cooperation  policy,,
legatum prosperity index,Legatum Prosperity Index,0,false,1,2,3,11,11,1,Cooperation  policy,,
leisure satisfaction,Leisure satisfaction,2,false,1,0,1,11,11,1,Cooperation  policy,,
living planet index,Living planet index,0,false,1,2,3,11,11,1,Cooperation  policy,,
law of social cycle,Law of Social Cycle,2,false,1,0,1,11,11,1,Cooperation  policy,,
millennium development goals,Millennium Development Goals,2,false,1,0,1,11,11,1,Cooperation  policy,,
psychometrics,Psychometrics,2,false,1,0,1,11,11,1,Cooperation  policy,,
where-to-be-born index,Where-to-be-born Index,0,false,1,2,3,11,11,1,Cooperation  policy,,
wikiprogress,Wikiprogress,0,false,1,2,3,11,11,1,Cooperation  policy,,
quality of life,Quality of life,0,false,0,2,2,11,11,1,Cooperation  policy,,
environmental full-cost accounting,Environmental full-cost accounting,0,false,0,1,1,11,11,1,Cooperation  policy,,
international development,International development,0,false,0,2,2,11,11,1,Cooperation  policy,,
socioeconomics,Socioeconomics,0,false,0,1,1,11,11,1,Cooperation  policy,,
social progress,Social progress,0,false,0,2,2,11,11,1,Cooperation  policy,,
human poverty index,Human Poverty Index,0,false,0,2,2,11,11,1,Cooperation  policy,,
national human development report,National Human Development Report,0,false,0,2,2,11,11,1,Cooperation  policy,,
gender parity index,Gender Parity Index,0,false,0,2,2,11,11,1,Cooperation  policy,,
measure of america,Measure of America,0,false,0,2,2,11,11,1,Cooperation  policy,,
life satisfaction,Life satisfaction,0,false,0,2,2,11,11,1,Cooperation  policy,,
oecd better life index,OECD Better Life Index,0,false,0,2,2,11,11,1,Cooperation  policy,,
world happiness report,World Happiness Report,0,false,0,2,2,11,11,1,Cooperation  policy,,
physical quality of life index,Physical Quality of Life Index,0,false,0,1,1,11,11,1,Cooperation  policy,,
holism,Holism,0,false,0,1,1,11,11,1,Cooperation  policy,,
buddhist economics,Buddhist economics,0,false,0,1,1,11,11,1,Cooperation  policy,,
satisfaction with life index,Satisfaction with Life Index,0,false,0,1,1,11,11,1,Cooperation  policy,,
life quality index,Life Quality Index,0,false,0,1,1,11,11,1,Cooperation  policy,,
cannabis in the united states,Cannabis in the United States,0,false,0,1,1,11,11,1,Cooperation  policy,,
international society for quality of life studies,International Society for Quality of Life Studies,0,false,0,1,1,11,11,1,Cooperation  policy,,
oxford poverty and human development initiative,Oxford Poverty and Human Development Initiative,0,false,0,1,1,11,11,1,Cooperation  policy,,
international day of happiness,International Day of Happiness,0,false,0,1,1,11,11,1,Cooperation  policy,,
collaborative innovation network,Collaborative innovation network,1,false,29,27,56,22,22,1,Collaborative innovation network,,
digital collaboration,Digital Collaboration,1,false,4,4,8,22,22,1,Collaborative innovation network,,
collaboration,Collaboration,0,false,2,3,5,22,22,1,Collaborative innovation network,,
mass collaboration,Mass collaboration,0,false,2,1,3,22,22,1,Collaborative innovation network,,
open-source governance,Open-source governance,0,false,1,1,2,22,22,1,Collaborative innovation network,,
collaborative intelligence,Collaborative intelligence,0,false,1,1,2,22,22,1,Collaborative innovation network,,
cloud collaboration,Cloud collaboration,2,false,1,0,1,22,22,1,Collaborative innovation network,,
collaborative consumption,Collaborative consumption,2,false,1,0,1,22,22,1,Collaborative innovation network,,
knowledge engineering,Knowledge engineering,2,false,1,0,1,22,22,1,Collaborative innovation network,,
game theory,Game theory,2,false,1,0,1,22,22,1,Collaborative innovation network,,
systems theory,Systems theory,2,false,1,0,1,22,22,1,Collaborative innovation network,,
group theory,Group theory,2,false,1,0,1,22,22,1,Collaborative innovation network,,
chaos theory,Chaos theory,2,false,1,0,1,22,22,1,Collaborative innovation network,,
network theory,Network theory,2,false,1,0,1,22,22,1,Collaborative innovation network,,
complex systems,Complex systems,2,false,1,0,1,22,22,1,Collaborative innovation network,,
human ecosystem,Human ecosystem,2,false,1,0,1,22,22,1,Collaborative innovation network,,
teleonomy,Teleonomy,2,false,1,0,1,22,22,1,Collaborative innovation network,,
nonlinear systems,Nonlinear systems,2,false,1,0,1,22,22,1,Collaborative innovation network,,
self-organization,Self-organization,2,false,1,0,1,22,22,1,Collaborative innovation network,,
libertarianism,Libertarianism,2,false,1,0,1,22,22,1,Collaborative innovation network,,
praxeology,Praxeology,2,false,1,0,1,22,22,1,Collaborative innovation network,,
panarchy,Panarchy,2,false,1,0,1,22,22,1,Collaborative innovation network,,
cybernetics,Cybernetics,2,false,1,0,1,22,22,1,Collaborative innovation network,,
intelligence amplification,Intelligence amplification,2,false,1,0,1,22,22,1,Collaborative innovation network,,
general theory of collaboration,General theory of collaboration,0,false,1,1,2,22,22,1,Collaborative innovation network,,
polytely,Polytely,2,false,1,0,1,22,22,1,Collaborative innovation network,,
koinontely,Koinontely,2,false,1,0,1,22,22,1,Collaborative innovation network,,
global information grid,Global Information Grid,2,false,1,0,1,22,22,1,Collaborative innovation network,,
open politics,Open politics,2,false,1,0,1,22,22,1,Collaborative innovation network,,
symbolic interactionism,Symbolic interactionism,2,false,1,0,1,22,22,1,Collaborative innovation network,,
computer-supported cooperative work,Computer-supported cooperative work,0,false,0,3,3,22,22,1,Collaborative innovation network,,
github,GitHub,0,false,0,2,2,22,22,1,Collaborative innovation network,,
collective action,Collective action,0,false,0,1,1,22,22,1,Collaborative innovation network,,
sustainable agriculture,Sustainable agriculture,0,false,0,1,1,22,22,1,Collaborative innovation network,,
gemeinschaft and gesellschaft,Gemeinschaft and Gesellschaft,0,false,0,1,1,22,22,1,Collaborative innovation network,,
innovation system,Innovation system,0,false,0,1,1,22,22,1,Collaborative innovation network,,
diffusion of innovations,Diffusion of innovations,0,false,0,1,1,22,22,1,Collaborative innovation network,,
ecological engineering,Ecological engineering,0,false,0,1,1,22,22,1,Collaborative innovation network,,
macro-engineering,Macro-engineering,0,false,0,1,1,22,22,1,Collaborative innovation network,,
ecotechnology,Ecotechnology,0,false,0,1,1,22,22,1,Collaborative innovation network,,
ecological engineering methods,Ecological engineering methods,0,false,0,1,1,22,22,1,Collaborative innovation network,,
autonomic networking,Autonomic networking,0,false,0,1,1,22,22,1,Collaborative innovation network,,
debate over china's economic responsibilities for climate change mitigation,Debate over China's economic responsibilities for climate change mitigation,0,false,0,1,1,22,22,1,Collaborative innovation network,,
network science,Network science,0,false,0,1,1,22,22,1,Collaborative innovation network,,
innovation management,Innovation management,0,false,0,1,1,22,22,1,Collaborative innovation network,,
entrepreneurial ecosystem,Entrepreneurial ecosystem,0,false,0,1,1,22,22,1,Collaborative innovation network,,
collaborative information seeking,Collaborative information seeking,0,false,0,1,1,22,22,1,Collaborative innovation network,,
entrepreneurship ecosystem,Entrepreneurship ecosystem,0,false,0,1,1,22,22,1,Collaborative innovation network,,
project hieroglyph,Project Hieroglyph,0,false,0,1,1,22,22,1,Collaborative innovation network,,
collabrify,Collabrify,0,false,0,2,2,22,22,1,Collaborative innovation network,,
comparison of crowd funding services,Comparison of crowd funding services,1,false,55,3,58,5,5,1,Crowdfunding,,
equity crowdfunding,Equity Crowdfunding,0,false,1,1,2,5,5,1,Crowdfunding,,
peer-to-peer lending,Peer-to-peer lending,0,false,1,1,2,5,5,1,Crowdfunding,,
social commerce,Social commerce,1,false,12,6,18,5,5,1,Crowdfunding,,
electronic commerce,Electronic commerce,2,false,1,0,1,5,5,1,Crowdfunding,,
social shopping,Social shopping,0,false,1,1,2,5,5,1,Crowdfunding,,
referral marketing,Referral marketing,2,false,1,0,1,5,5,1,Crowdfunding,,
social networks,Social networks,2,false,1,0,1,5,5,1,Crowdfunding,,
web 2.0,Web 2.0,0,false,2,1,3,5,5,1,Crowdfunding,,
the cluetrain manifesto,The Cluetrain Manifesto,2,false,1,0,1,5,5,1,Crowdfunding,,
artistshare,ArtistShare,0,false,0,1,1,5,5,1,Crowdfunding,,
sellaband,Sellaband,0,false,0,2,2,5,5,1,Crowdfunding,,
zopa,Zopa,0,false,0,1,1,5,5,1,Crowdfunding,,
bountysource,Bountysource,0,false,0,1,1,5,5,1,Crowdfunding,,
fan-funded music,Fan-funded music,0,false,0,1,1,5,5,1,Crowdfunding,,
kickstarter,Kickstarter,0,false,0,1,1,5,5,1,Crowdfunding,,
crowdrise,Crowdrise,0,false,0,1,1,5,5,1,Crowdfunding,,
pledgemusic,PledgeMusic,0,false,0,2,2,5,5,1,Crowdfunding,,
rockethub,RocketHub,0,false,0,1,1,5,5,1,Crowdfunding,,
indiegogo,Indiegogo,0,false,0,1,1,5,5,1,Crowdfunding,,
sponsume,Sponsume,0,false,0,1,1,5,5,1,Crowdfunding,,
peerbackers,Peerbackers,0,false,0,1,1,5,5,1,Crowdfunding,,
funding4learning,Funding4Learning,0,false,0,1,1,5,5,1,Crowdfunding,,
fondomat,Fondomat,0,false,0,1,1,5,5,1,Crowdfunding,,
loudsauce,Loudsauce,0,false,0,1,1,5,5,1,Crowdfunding,,
pleasefund.us,PleaseFund.Us,0,false,0,1,1,5,5,1,Crowdfunding,,
rock the post,Rock the Post,0,false,0,1,1,5,5,1,Crowdfunding,,
weeve,Weeve,0,false,0,1,1,5,5,1,Crowdfunding,,
investedin,InvestedIn,0,false,0,1,1,5,5,1,Crowdfunding,,
seedrs,Seedrs,0,false,0,1,1,5,5,1,Crowdfunding,,
startupvalley,StartupValley,0,false,0,1,1,5,5,1,Crowdfunding,,
peoplefund.it,Peoplefund.it,0,false,0,1,1,5,5,1,Crowdfunding,,
innovestment gmbh,Innovestment GmbH,0,false,0,1,1,5,5,1,Crowdfunding,,
crowdcube,CrowdCube,0,false,0,1,1,5,5,1,Crowdfunding,,
bnktothefuture,BnkToTheFuture,0,false,0,1,1,5,5,1,Crowdfunding,,
angellist,AngelList,0,false,0,1,1,5,5,1,Crowdfunding,,
abundance generation,Abundance Generation,0,false,0,1,1,5,5,1,Crowdfunding,,
tenpages.com,TenPages.com,0,false,0,1,1,5,5,1,Crowdfunding,,
offbeatr,Offbeatr,0,false,0,1,1,5,5,1,Crowdfunding,,
confidentcrowd,Confidentcrowd,0,false,0,1,1,5,5,1,Crowdfunding,,
mobcaster,Mobcaster,0,false,0,1,1,5,5,1,Crowdfunding,,
experiment (website),Experiment (website),0,false,0,1,1,5,5,1,Crowdfunding,,
headstart (web),Headstart (web),0,false,0,1,1,5,5,1,Crowdfunding,,
fundedbyme,FundedByMe,0,false,0,1,1,5,5,1,Crowdfunding,,
fundly,Fundly,0,false,0,1,1,5,5,1,Crowdfunding,,
social teeth,Social Teeth,0,false,0,1,1,5,5,1,Crowdfunding,,
crowdfundedu,CrowdFundEDU,0,false,0,1,1,5,5,1,Crowdfunding,,
40billion,40Billion,0,false,0,1,1,5,5,1,Crowdfunding,,
invesdor,Invesdor,0,false,0,1,1,5,5,1,Crowdfunding,,
community funded,Community Funded,0,false,0,1,1,5,5,1,Crowdfunding,,
wedidit,Wedidit,0,false,0,1,1,5,5,1,Crowdfunding,,
return on change,Return on Change,0,false,0,1,1,5,5,1,Crowdfunding,,
university and college crowdfunding platforms,University and college crowdfunding platforms,0,false,0,1,1,5,5,1,Crowdfunding,,
junction (investment platform),Junction (investment platform),0,false,0,1,1,5,5,1,Crowdfunding,,
lendico,Lendico,0,false,0,1,1,5,5,1,Crowdfunding,,
planeta.ru,Planeta.ru,0,false,0,1,1,5,5,1,Crowdfunding,,
peer to peer investing,Peer to peer investing,0,false,0,1,1,5,5,1,Crowdfunding,,
harmoney,Harmoney,0,false,0,1,1,5,5,1,Crowdfunding,,
onevest,Onevest,0,false,0,1,1,5,5,1,Crowdfunding,,
zencap,Zencap,0,false,0,1,1,5,5,1,Crowdfunding,,
launchgood,LaunchGood,0,false,0,1,1,5,5,1,Crowdfunding,,
amie street,Amie Street,0,false,0,1,1,5,5,1,Crowdfunding,,
guidance solutions,Guidance Solutions,0,false,0,1,1,5,5,1,Crowdfunding,,
indaba music,Indaba Music,0,false,0,1,1,5,5,1,Crowdfunding,,
jai rawat,Jai Rawat,0,false,0,1,1,5,5,1,Crowdfunding,,
sears israel,Sears Israel,0,false,0,1,1,5,5,1,Crowdfunding,,
culture war,Culture war,1,false,18,51,69,9,9,1,Culture war,,
christmas controversy,Christmas controversy,0,false,1,1,2,9,9,1,Culture war,,
cultural conflict,Cultural conflict,2,false,1,0,1,9,9,1,Culture war,,
history wars,History wars,2,false,1,0,1,9,9,1,Culture war,,
red state vs. blue state divide,Red state vs. blue state divide,2,false,1,0,1,9,9,1,Culture war,,
world chess championship 1972,World Chess Championship 1972,2,false,1,0,1,9,9,1,Culture war,,
abortion,Abortion,2,false,1,0,1,9,9,1,Culture war,,
reproductive rights,Reproductive rights,2,false,1,0,1,9,9,1,Culture war,,
right to die,Right to die,2,false,1,0,1,9,9,1,Culture war,,
euthanasia,euthanasia,2,false,1,0,1,9,9,1,Culture war,,
stem-cell research,Stem-cell research,2,false,1,0,1,9,9,1,Culture war,,
age of consent,Age of consent,2,false,1,0,1,9,9,1,Culture war,,
homosexuality,Homosexuality,2,false,1,0,1,9,9,1,Culture war,,
lgbt social movements,LGBT social movements,2,false,1,0,1,9,9,1,Culture war,,
same-sex marriage,Same-sex marriage,2,false,1,0,1,9,9,1,Culture war,,
pornography,Pornography,2,false,1,0,1,9,9,1,Culture war,,
prostitution,Prostitution,2,false,1,0,1,9,9,1,Culture war,,
sexual revolution,Sexual revolution,2,false,1,0,1,9,9,1,Culture war,,
creation-evolution controversy,Creation-evolution controversy,2,false,1,0,1,9,9,1,Culture war,,
family values,Family values,2,false,1,0,1,9,9,1,Culture war,,
homeschooling,Homeschooling,2,false,1,0,1,9,9,1,Culture war,,
educational choice,Educational choice,2,false,1,0,1,9,9,1,Culture war,,
corporal punishment,Corporal punishment,2,false,1,0,1,9,9,1,Culture war,,
child discipline,Child discipline,2,false,1,0,1,9,9,1,Culture war,,
spanking,spanking,2,false,1,0,1,9,9,1,Culture war,,
sexual education,Sexual education,2,false,1,0,1,9,9,1,Culture war,,
sexual abstinence,Sexual abstinence,2,false,1,0,1,9,9,1,Culture war,,
legal drinking age,Legal drinking age,2,false,1,0,1,9,9,1,Culture war,,
recreational drug use,Recreational drug use,2,false,1,0,1,9,9,1,Culture war,,
drug decriminalization,Drug decriminalization,2,false,1,0,1,9,9,1,Culture war,,
harm reduction,Harm reduction,2,false,1,0,1,9,9,1,Culture war,,
global warming,Global warming,2,false,1,0,1,9,9,1,Culture war,,
climate change mitigation,climate change mitigation,2,false,1,0,1,9,9,1,Culture war,,
stanford social innovation review,Stanford Social Innovation Review,2,false,1,0,1,9,9,1,Culture war,,
animal rights,Animal Rights,2,false,1,0,1,9,9,1,Culture war,,
feminism,Feminism,2,false,1,0,1,9,9,1,Culture war,,
gun politics,Gun politics,2,false,1,0,1,9,9,1,Culture war,,
immigration,Immigration,2,false,1,0,1,9,9,1,Culture war,,
race (classification of human beings),Race (classification of human beings),2,false,1,0,1,9,9,1,Culture war,,
affirmative action,affirmative action,2,false,1,0,1,9,9,1,Culture war,,
media bias in the united states,Media bias in the United States,2,false,1,0,1,9,9,1,Culture war,,
moral absolutism,Moral absolutism,2,false,1,0,1,9,9,1,Culture war,,
moral relativism,Moral relativism,2,false,1,0,1,9,9,1,Culture war,,
multiculturalism,Multiculturalism,2,false,1,0,1,9,9,1,Culture war,,
permissive society,Permissive society,2,false,1,0,1,9,9,1,Culture war,,
political correctness,Political correctness,2,false,1,0,1,9,9,1,Culture war,,
secularism,Secularism,2,false,1,0,1,9,9,1,Culture war,,
secularization,Secularization,2,false,1,0,1,9,9,1,Culture war,,
capital punishment,Capital punishment,2,false,1,0,1,9,9,1,Culture war,,
law and order (politics),Law and order (politics),0,false,1,1,2,9,9,1,Culture war,,
separation of church and state in the united states,Separation of church and state in the United States,2,false,1,0,1,9,9,1,Culture war,,
homosexuality and religion,Homosexuality and religion,0,false,0,1,1,9,9,1,Culture war,,
pat buchanan,Pat Buchanan,0,false,0,1,1,9,9,1,Culture war,,
heterosexism,Heterosexism,0,false,0,1,1,9,9,1,Culture war,,
kulturkampf,Kulturkampf,0,false,0,1,1,9,9,1,Culture war,,
laura schlessinger,Laura Schlessinger,0,false,0,1,1,9,9,1,Culture war,,
the two cultures,The Two Cultures,0,false,0,1,1,9,9,1,Culture war,,
american family association,American Family Association,0,false,0,1,1,9,9,1,Culture war,,
mark steyn,Mark Steyn,0,false,0,1,1,9,9,1,Culture war,,
liberal elite,Liberal elite,0,false,0,1,1,9,9,1,Culture war,,
fourth great awakening,Fourth Great Awakening,0,false,0,1,1,9,9,1,Culture war,,
south park republican,South Park Republican,0,false,0,1,1,9,9,1,Culture war,,
donald wildmon,Donald Wildmon,0,false,0,1,1,9,9,1,Culture war,,
lgbt rights opposition,LGBT rights opposition,0,false,0,1,1,9,9,1,Culture war,,
homosexual agenda,Homosexual agenda,0,false,0,1,1,9,9,1,Culture war,,
video game controversies,Video game controversies,0,false,0,1,1,9,9,1,Culture war,,
crowdfunding,Crowdfunding,0,false,2,1,3,24,24,1,Online partecipation and collaborative filtering,,
social information processing,Social information processing,0,false,1,1,2,24,24,1,Online partecipation and collaborative filtering,,
social collaboration,Social collaboration,0,false,5,16,21,24,24,1,Online partecipation and collaborative filtering,,
collaborative filtering,Collaborative filtering,-1,false,26,18,44,24,24,1,Online partecipation and collaborative filtering,,
online participation,Online participation,-1,false,14,18,32,24,24,1,Online partecipation and collaborative filtering,,
social translucence,Social translucence,-1,false,7,6,13,24,24,1,Online partecipation and collaborative filtering,,
crowdsourcing,Crowdsourcing,0,false,2,3,5,24,24,1,Online partecipation and collaborative filtering,,
digital traces,Digital traces,2,false,1,0,1,24,24,1,Online partecipation and collaborative filtering,,
online communities,Online communities,2,false,1,0,1,24,24,1,Online partecipation and collaborative filtering,,
online identity,Online identity,0,false,2,1,3,24,24,1,Online partecipation and collaborative filtering,,
cyberpsychology,Cyberpsychology,2,false,1,0,1,24,24,1,Online partecipation and collaborative filtering,,
e-participation,e-participation,0,false,1,2,3,24,24,1,Online partecipation and collaborative filtering,,
knowledge ecosystem,Knowledge ecosystem,2,false,1,0,1,24,24,1,Online partecipation and collaborative filtering,,
legitimate peripheral participation,Legitimate peripheral participation,0,false,1,1,2,24,24,1,Online partecipation and collaborative filtering,,
community of practice,Community of practice,0,false,2,1,3,24,24,1,Online partecipation and collaborative filtering,,
lurking,Lurking,2,false,1,0,1,24,24,1,Online partecipation and collaborative filtering,,
motivations of wikipedia contributors,Motivations of Wikipedia contributors,2,false,1,0,1,24,24,1,Online partecipation and collaborative filtering,,
social actions,Social actions,2,false,1,0,1,24,24,1,Online partecipation and collaborative filtering,,
social cognition,Social cognition,0,false,1,1,2,24,24,1,Online partecipation and collaborative filtering,,
social exchange theory,Social exchange theory,2,false,1,0,1,24,24,1,Online partecipation and collaborative filtering,,
virtual communities,Virtual communities,2,false,1,0,1,24,24,1,Online partecipation and collaborative filtering,,
virtual community of practice,Virtual community of practice,0,false,1,1,2,24,24,1,Online partecipation and collaborative filtering,,
1% rule (internet culture),1% rule (Internet culture),2,false,1,0,1,24,24,1,Online partecipation and collaborative filtering,,
attention profiling mark-up language,Attention Profiling Mark-up Language,2,false,1,0,1,24,24,1,Online partecipation and collaborative filtering,,
cold start,Cold start,0,false,1,1,2,24,24,1,Online partecipation and collaborative filtering,,
collaborative model,Collaborative model,0,false,1,1,2,24,24,1,Online partecipation and collaborative filtering,,
collaborative search engine,Collaborative search engine,2,false,1,0,1,24,24,1,Online partecipation and collaborative filtering,,
customer engagement,Customer engagement,2,false,1,0,1,24,24,1,Online partecipation and collaborative filtering,,
delegative democracy,Delegative Democracy,0,false,1,1,2,24,24,1,Online partecipation and collaborative filtering,,
enterprise bookmarking,Enterprise bookmarking,2,false,1,0,1,24,24,1,Online partecipation and collaborative filtering,,
firefly (website),Firefly (website),0,false,1,1,2,24,24,1,Online partecipation and collaborative filtering,,
preference elicitation,Preference elicitation,0,false,1,1,2,24,24,1,Online partecipation and collaborative filtering,,
recommendation system,Recommendation system,2,false,1,0,1,24,24,1,Online partecipation and collaborative filtering,,
relevance (information retrieval),Relevance (information retrieval),2,false,1,0,1,24,24,1,Online partecipation and collaborative filtering,,
robust collaborative filtering,Robust collaborative filtering,2,false,1,0,1,24,24,1,Online partecipation and collaborative filtering,,
similarity search,Similarity search,2,false,1,0,1,24,24,1,Online partecipation and collaborative filtering,,
slope one,Slope One,2,false,1,0,1,24,24,1,Online partecipation and collaborative filtering,,
collaborative software,Collaborative software,0,false,1,2,3,24,24,1,Online partecipation and collaborative filtering,,
crowdflower,CrowdFlower,2,false,1,0,1,24,24,1,Online partecipation and collaborative filtering,,
collaborative tagging,Collaborative tagging,2,false,1,0,1,24,24,1,Online partecipation and collaborative filtering,,
enterprise 2.0,Enterprise 2.0,2,false,1,0,1,24,24,1,Online partecipation and collaborative filtering,,
online community,Online Community,0,false,1,1,2,24,24,1,Online partecipation and collaborative filtering,,
social network,Social Network,2,false,1,0,1,24,24,1,Online partecipation and collaborative filtering,,
social networking service,Social networking service,2,false,1,0,1,24,24,1,Online partecipation and collaborative filtering,,
social tagging,Social tagging,2,false,1,0,1,24,24,1,Online partecipation and collaborative filtering,,
matchmaking,Matchmaking,0,false,0,1,1,24,24,1,Online partecipation and collaborative filtering,,
daily me,Daily Me,0,false,0,1,1,24,24,1,Online partecipation and collaborative filtering,,
recommender system,Recommender system,0,false,0,1,1,24,24,1,Online partecipation and collaborative filtering,,
personalization,Personalization,0,false,0,1,1,24,24,1,Online partecipation and collaborative filtering,,
the wisdom of crowds,The Wisdom of Crowds,0,false,0,1,1,24,24,1,Online partecipation and collaborative filtering,,
psychographic filtering,Psychographic filtering,0,false,0,1,1,24,24,1,Online partecipation and collaborative filtering,,
social search,Social search,0,false,0,1,1,24,24,1,Online partecipation and collaborative filtering,,
the paradox of choice,The Paradox of Choice,0,false,0,1,1,24,24,1,Online partecipation and collaborative filtering,,
implicit collaboration,Implicit collaboration,0,false,0,1,1,24,24,1,Online partecipation and collaborative filtering,,
collarity,Collarity,0,false,0,1,1,24,24,1,Online partecipation and collaborative filtering,,
heeii,Heeii,0,false,0,1,1,24,24,1,Online partecipation and collaborative filtering,,
loomia,Loomia,0,false,0,1,1,24,24,1,Online partecipation and collaborative filtering,,
meemix,MeeMix,0,false,0,1,1,24,24,1,Online partecipation and collaborative filtering,,
models of collaborative tagging,Models of collaborative tagging,0,false,0,2,2,24,24,1,Online partecipation and collaborative filtering,,
strands recommender,Strands Recommender,0,false,0,1,1,24,24,1,Online partecipation and collaborative filtering,,
knowledge-based recommender system,Knowledge-based recommender system,0,false,0,1,1,24,24,1,Online partecipation and collaborative filtering,,
social presence theory,Social presence theory,0,false,0,1,1,24,24,1,Online partecipation and collaborative filtering,,
lurker,Lurker,0,false,0,1,1,24,24,1,Online partecipation and collaborative filtering,,
sense of community,Sense of community,0,false,0,1,1,24,24,1,Online partecipation and collaborative filtering,,
communities of innovation,Communities of innovation,0,false,0,1,1,24,24,1,Online partecipation and collaborative filtering,,
internet influences on communities,Internet influences on communities,0,false,0,1,1,24,24,1,Online partecipation and collaborative filtering,,
fan sourcing,Fan sourcing,0,false,0,1,1,24,24,1,Online partecipation and collaborative filtering,,
collaborative finance,Collaborative finance,0,false,7,6,13,19,19,1,Reputation Management,,
recommerce,Recommerce,1,false,3,5,8,19,19,1,Reputation Management,,
reputation capital,Reputation capital,0,false,9,4,13,19,19,1,Reputation Management,,
reputation systems,Reputation systems,1,false,2,12,14,19,19,1,Reputation Management,,
social dining,Social dining,1,false,1,0,1,19,19,1,Reputation Management,,
reputation management,Reputation management,0,false,20,6,26,19,19,1,Reputation Management,,
web of trust,Web of trust,1,false,11,5,16,19,19,1,Reputation Management,,
honor system,Honor system,-1,false,5,4,9,19,19,1,Reputation Management,,
goodwill (accounting),Goodwill (accounting),2,false,1,0,1,19,19,1,Reputation Management,,
online reputation,Online reputation,2,false,1,0,1,19,19,1,Reputation Management,,
reputation,Reputation,0,false,1,1,2,19,19,1,Reputation Management,,
hawala,Hawala,2,false,1,0,1,19,19,1,Reputation Management,,
informal value transfer system,informal value transfer system,2,false,1,0,1,19,19,1,Reputation Management,,
warrior code,Warrior code,2,false,1,0,1,19,19,1,Reputation Management,,
virtual community,Virtual community,0,false,1,2,3,19,19,1,Reputation Management,,
cacert,CAcert,2,false,1,0,1,19,19,1,Reputation Management,,
thawte,Thawte,2,false,1,0,1,19,19,1,Reputation Management,,
friend-to-friend,Friend-to-friend,2,false,1,0,1,19,19,1,Reputation Management,,
ripple (payment protocol),Ripple (payment protocol),2,false,1,0,1,19,19,1,Reputation Management,,
impression management,Impression management,0,false,1,2,3,19,19,1,Reputation Management,,
online identity management,Online identity management,0,false,1,2,3,19,19,1,Reputation Management,,
spin (public relations),Spin (public relations),0,false,1,1,2,19,19,1,Reputation Management,,
streisand effect,Streisand effect,2,false,1,0,1,19,19,1,Reputation Management,,
e-commerce,E-commerce,2,false,1,0,1,19,19,1,Reputation Management,,
recycling,Recycling,2,false,1,0,1,19,19,1,Reputation Management,,
reuse,Reuse,2,false,1,0,1,19,19,1,Reputation Management,,
trade in services,Trade in services,2,false,1,0,1,19,19,1,Reputation Management,,
waste management,Waste Management,2,false,1,0,1,19,19,1,Reputation Management,,
open-source movement,Open-source movement,-1,false,2,2,4,19,19,1,Reputation Management,,
algorithmic regulation,Algorithmic Regulation,-1,false,1,1,2,19,19,1,Reputation Management,,
local currency,Local currency,-1,false,0,2,2,19,19,1,Reputation Management,,
local exchange trading system,Local exchange trading system,-1,false,0,2,2,19,19,1,Reputation Management,,
network society,Network society,-1,false,0,3,3,19,19,1,Reputation Management,,
the freecycle network,The Freecycle Network,-1,false,0,1,1,19,19,1,Reputation Management,,
juliet schor,Juliet Schor,-1,false,0,1,1,19,19,1,Reputation Management,,
real-time ridesharing,Real-time ridesharing,-1,false,0,1,1,19,19,1,Reputation Management,,
product-service system,Product-service system,-1,false,0,1,1,19,19,1,Reputation Management,,
lisa gansky,Lisa Gansky,-1,false,0,1,1,19,19,1,Reputation Management,,
piazza telematica,Piazza telematica,-1,false,0,1,1,19,19,1,Reputation Management,,
freegle,Freegle,-1,false,0,1,1,19,19,1,Reputation Management,,
